batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs
A Ashish Reddy,21,254,172,15,14,15,147.67441860465115,16.933333333333334,5.0,169.0
A Badoni,35,633,465,46,24,26,136.1290322580645,24.346153846153847,18.0,332.0
A Chandila,2,4,7,0,0,1,57.14285714285714,4.0,0.0,4.0
A Chopra,6,53,70,7,0,5,75.71428571428571,10.6,27.0,0.0
A Choudhary,3,25,20,1,1,2,125.0,12.5,0.0,24.0
A Dananjaya,1,4,5,0,0,0,80.0,inf,0.0,4.0
A Flintoff,3,62,50,5,2,2,124.0,31.0,14.0,22.0
A Kamboj,1,2,2,0,0,0,100.0,inf,0.0,0.0
A Kumble,14,35,45,3,0,2,77.77777777777779,17.5,0.0,29.0
A Manohar,15,231,174,21,10,14,132.75862068965517,16.5,12.0,85.0
A Mishra,51,350,382,28,5,27,91.62303664921467,12.962962962962964,1.0,219.0
A Mithun,6,34,24,4,1,5,141.66666666666669,6.8,0.0,13.0
A Mukund,2,19,22,1,0,2,86.36363636363636,9.5,14.0,0.0
A Nehra,13,28,44,2,1,7,63.63636363636363,4.0,0.0,23.0
A Nortje,12,49,48,6,0,5,102.08333333333333,9.8,0.0,46.0
A Raghuvanshi,7,163,102,16,8,7,159.80392156862746,23.285714285714285,78.0,0.0
A Singh,5,2,9,0,0,4,22.22222222222222,0.5,0.0,2.0
A Symonds,34,954,716,72,41,24,133.24022346368716,39.75,72.0,220.0
A Tomar,1,4,8,1,0,1,50.0,4.0,4.0,0.0
A Uniyal,2,4,7,0,0,1,57.14285714285714,4.0,0.0,4.0
A Zampa,5,15,24,1,0,5,62.5,3.0,0.0,5.0
AA Bilakhia,7,69,81,5,0,5,85.18518518518519,13.8,23.0,34.0
AA Chavan,2,11,8,2,0,1,137.5,11.0,0.0,11.0
AA Jhunjhunwala,13,207,190,17,5,12,108.94736842105263,17.25,19.0,53.0
AA Kulkarni,2,9,8,2,0,2,112.5,4.5,9.0,0.0
AA Noffke,1,9,10,1,0,1,90.0,9.0,0.0,0.0
AB Agarkar,18,177,147,13,5,8,120.40816326530613,22.125,20.0,108.0
AB Barath,3,42,41,5,1,2,102.4390243902439,21.0,18.0,2.0
AB Dinda,10,15,31,1,0,7,48.38709677419355,2.142857142857143,0.0,7.0
AB McDonald,9,123,96,9,4,5,128.125,24.6,30.0,78.0
AB de Villiers,164,4945,3236,399,235,123,152.81211372064277,40.203252032520325,741.0,1269.0
AC Blizzard,6,114,82,20,2,6,139.02439024390242,19.0,93.0,0.0
AC Gilchrist,73,1987,1373,226,91,70,144.7195921340131,28.385714285714286,1316.0,52.0
AC Voges,7,181,137,15,3,6,132.1167883211679,30.166666666666668,7.0,66.0
AD Hales,6,147,116,13,6,6,126.72413793103448,24.5,113.0,0.0
AD Mascarenhas,10,74,72,5,1,9,102.77777777777777,8.222222222222221,4.0,31.0
AD Mathews,23,423,320,34,15,16,132.1875,26.4375,9.0,243.0
AD Nath,10,90,98,7,2,10,91.83673469387756,9.0,11.0,16.0
AD Russell,104,2465,1392,168,208,84,177.08333333333331,29.345238095238095,41.0,1050.0
AF Milne,6,23,29,0,1,5,79.3103448275862,4.6,0.0,15.0
AG Murtaza,1,2,5,0,0,0,40.0,inf,0.0,2.0
AG Paunikar,5,48,54,9,0,5,88.88888888888889,9.6,48.0,0.0
AJ Finch,75,1603,1234,159,59,69,129.902755267423,23.231884057971016,666.0,182.0
AJ Hosein,1,16,10,1,1,0,160.0,inf,0.0,16.0
AJ Turner,6,24,27,0,2,5,88.88888888888889,4.8,0.0,4.0
AJ Tye,13,91,70,6,5,8,130.0,11.375,0.0,54.0
AK Markram,42,995,762,73,35,33,130.57742782152232,30.151515151515152,100.0,173.0
AL Menaria,20,317,282,20,13,18,112.41134751773049,17.61111111111111,2.0,73.0
AM Nayar,39,563,438,45,20,30,128.53881278538813,18.766666666666666,48.0,199.0
AM Rahane,165,4459,3555,460,101,151,125.42897327707453,29.52980132450331,2262.0,355.0
AN Ahmed,6,36,25,4,1,1,144.0,36.0,0.0,36.0
AN Ghosh,2,7,8,1,0,2,87.5,3.5,7.0,0.0
AP Dole,2,34,22,3,1,2,154.54545454545453,17.0,0.0,32.0
AP Tare,27,339,267,40,11,24,126.96629213483146,14.125,226.0,34.0
AR Bawne,1,12,12,1,0,0,100.0,inf,0.0,12.0
AR Patel,112,1643,1240,107,78,78,132.5,21.064102564102566,32.0,750.0
AS Joseph,5,27,31,3,0,1,87.09677419354838,27.0,0.0,16.0
AS Rajpoot,7,26,40,2,1,4,65.0,6.5,0.0,25.0
AS Raut,16,194,167,13,7,11,116.1676646706587,17.636363636363637,7.0,107.0
AS Roy,6,26,23,3,0,3,113.04347826086956,8.666666666666666,4.0,22.0
AS Yadav,6,49,37,5,2,7,132.43243243243242,7.0,0.0,39.0
AT Carey,3,32,27,0,1,2,118.5185185185185,16.0,0.0,31.0
AT Rayudu,179,4180,3222,347,166,146,129.73308504034762,28.63013698630137,742.0,860.0
AU Rashid,2,21,15,2,1,2,140.0,10.5,0.0,4.0
AUK Pathan,6,27,19,2,2,5,142.10526315789474,5.4,14.0,2.0
Abdul Basith,1,1,1,0,0,0,100.0,inf,0.0,1.0
Abdul Samad,39,574,388,36,36,32,147.93814432989691,17.9375,2.0,329.0
Abdur Razzak,1,0,2,0,0,0,0.0,0.0,0.0,0.0
Abhishek Sharma,61,1369,871,128,72,55,157.1756601607348,24.89090909090909,750.0,128.0
Abishek Porel,16,359,234,37,15,15,153.41880341880344,23.933333333333334,141.0,48.0
Akash Deep,3,19,12,2,1,2,158.33333333333331,9.5,0.0,10.0
Akash Madhwal,1,4,4,0,0,0,100.0,inf,0.0,4.0
Aman Hakim Khan,10,115,102,8,6,9,112.74509803921569,12.777777777777779,4.0,40.0
Anirudh Singh,4,63,66,6,1,4,95.45454545454545,15.75,18.0,9.0
Ankit Sharma,10,87,67,7,4,7,129.8507462686567,12.428571428571429,27.0,31.0
Ankit Soni,3,7,7,0,1,2,100.0,3.5,0.0,7.0
Anmolpreet Singh,9,139,115,19,3,9,120.8695652173913,15.444444444444445,116.0,0.0
Anuj Rawat,21,318,258,26,14,14,123.25581395348837,22.714285714285715,83.0,127.0
