bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets
A Ashish Reddy,11,15,0,15,0.0,0.0,1.0,0.0,6.0
A Badoni,2,2,0,2,0.0,0.0,1.0,0.0,0.0
A Chandila,5,7,0,7,0.0,0.0,1.0,6.0,0.0
A Choudhary,4,5,0,5,0.0,0.0,1.0,3.0,1.0
A Flintoff,2,2,0,2,0.0,0.0,1.0,0.0,1.0
A Kamboj,2,2,0,2,0.0,0.0,1.0,1.0,0.0
A Kumble,27,49,1,49,0.12244897959183673,0.02040816326530612,1.0,3.0,15.0
A Mishra,102,172,3,172,0.10465116279069767,0.01744186046511628,1.0,6.0,26.0
A Mithun,5,6,0,6,0.0,0.0,1.0,1.0,3.0
A Nehra,59,109,5,109,0.27522935779816515,0.045871559633027525,1.0,44.0,49.0
A Nel,1,1,0,1,0.0,0.0,1.0,1.0,0.0
A Nortje,35,62,1,62,0.0967741935483871,0.016129032258064516,1.0,22.0,23.0
A Singh,16,30,1,30,0.2,0.03333333333333333,1.0,13.0,16.0
A Symonds,16,23,1,23,0.2608695652173913,0.043478260869565216,1.0,5.0,6.0
A Uniyal,1,3,0,3,0.0,0.0,1.0,1.0,2.0
A Zampa,16,30,0,30,0.0,0.0,1.0,3.0,7.0
AA Chavan,6,8,0,8,0.0,0.0,1.0,3.0,1.0
AA Jhunjhunwala,1,1,0,1,0.0,0.0,1.0,0.0,0.0
AA Kazi,1,1,0,1,0.0,0.0,1.0,0.0,0.0
AA Noffke,1,1,0,1,0.0,0.0,1.0,0.0,1.0
AB Agarkar,20,31,2,31,0.3870967741935484,0.06451612903225806,1.0,6.0,8.0
AB Dinda,33,52,2,52,0.23076923076923078,0.038461538461538464,1.0,26.0,17.0
AB McDonald,7,14,2,14,0.8571428571428571,0.14285714285714285,1.0,3.0,4.0
AC Gilchrist,1,1,0,1,0.0,0.0,1.0,0.0,1.0
AC Voges,1,1,0,1,0.0,0.0,1.0,0.0,0.0
AD Mascarenhas,7,13,0,13,0.0,0.0,1.0,9.0,0.0
AD Mathews,11,15,0,15,0.0,0.0,1.0,5.0,4.0
AD Russell,69,125,6,125,0.28800000000000003,0.048,1.0,22.0,53.0
AF Milne,5,9,2,9,1.3333333333333333,0.2222222222222222,1.0,3.0,4.0
AG Murtaza,3,7,1,7,0.8571428571428571,0.14285714285714285,1.0,2.0,0.0
AJ Hosein,1,1,0,1,0.0,0.0,1.0,0.0,0.0
AJ Tye,20,48,2,48,0.25,0.041666666666666664,1.0,13.0,24.0
AK Markram,2,2,0,2,0.0,0.0,1.0,0.0,0.0
AL Menaria,2,3,0,3,0.0,0.0,1.0,1.0,0.0
AM Nayar,4,6,0,6,0.0,0.0,1.0,0.0,1.0
AM Rahane,1,1,0,1,0.0,0.0,1.0,0.0,0.0
AM Salvi,5,7,0,7,0.0,0.0,1.0,1.0,2.0
AN Ahmed,9,11,0,11,0.0,0.0,1.0,1.0,6.0
AP Dole,3,5,0,5,0.0,0.0,1.0,2.0,1.0
AR Patel,91,131,1,131,0.04580152671755725,0.007633587786259542,1.0,18.0,16.0
AS Joseph,12,22,0,22,0.0,0.0,1.0,2.0,9.0
AS Rajpoot,15,24,0,24,0.0,0.0,1.0,9.0,8.0
AS Roy,5,6,0,6,0.0,0.0,1.0,1.0,0.0
