bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,fantasy_points
A Ashish Reddy,11,15,0,15,0.0,0.0,1.0,0.0,6.0,404
A Badoni,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
A Chandila,5,7,0,7,0.0,0.0,1.0,6.0,0.0,202
A Choudhary,4,5,0,5,0.0,0.0,1.0,3.0,1.0,150
A Flintoff,2,2,0,2,0.0,0.0,1.0,0.0,1.0,60
A Kamboj,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
A Kumble,27,49,1,49,0.1224489795918367,0.0204081632653061,1.0,3.0,15.0,1266
A Mishra,102,172,3,172,0.1046511627906976,0.0174418604651162,1.0,6.0,26.0,4381
A Mithun,5,6,0,6,0.0,0.0,1.0,1.0,3.0,177
A Nehra,59,109,5,109,0.2752293577981651,0.0458715596330275,1.0,44.0,49.0,2786
A Nel,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
A Nortje,35,62,1,62,0.0967741935483871,0.0161290322580645,1.0,22.0,23.0,1595
A Singh,16,30,1,30,0.2,0.0333333333333333,1.0,13.0,16.0,785
A Symonds,16,23,1,23,0.2608695652173913,0.0434782608695652,1.0,5.0,6.0,606
A Uniyal,1,3,0,3,0.0,0.0,1.0,1.0,2.0,90
A Zampa,16,30,0,30,0.0,0.0,1.0,3.0,7.0,785
AA Chavan,6,8,0,8,0.0,0.0,1.0,3.0,1.0,227
AA Jhunjhunwala,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
AA Kazi,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
AA Noffke,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
AB Agarkar,20,31,2,31,0.3870967741935484,0.064516129032258,1.0,6.0,8.0,810
AB Dinda,33,52,2,52,0.2307692307692307,0.0384615384615384,1.0,26.0,17.0,1341
AB McDonald,7,14,2,14,0.8571428571428571,0.1428571428571428,1.0,3.0,4.0,379
AC Gilchrist,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
AC Voges,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
AD Mascarenhas,7,13,0,13,0.0,0.0,1.0,9.0,0.0,354
AD Mathews,11,15,0,15,0.0,0.0,1.0,5.0,4.0,404
AD Russell,69,125,6,125,0.288,0.048,1.0,22.0,53.0,3190
AF Milne,5,9,2,9,1.3333333333333333,0.2222222222222222,1.0,3.0,4.0,252
AG Murtaza,3,7,1,7,0.8571428571428571,0.1428571428571428,1.0,2.0,0.0,202
AJ Hosein,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
AJ Tye,20,48,2,48,0.25,0.0416666666666666,1.0,13.0,24.0,1241
AK Markram,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
AL Menaria,2,3,0,3,0.0,0.0,1.0,1.0,0.0,90
AM Nayar,4,6,0,6,0.0,0.0,1.0,0.0,1.0,177
AM Rahane,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
AM Salvi,5,7,0,7,0.0,0.0,1.0,1.0,2.0,202
AN Ahmed,9,11,0,11,0.0,0.0,1.0,1.0,6.0,302
AP Dole,3,5,0,5,0.0,0.0,1.0,2.0,1.0,150
AR Patel,91,131,1,131,0.0458015267175572,0.0076335877862595,1.0,18.0,16.0,3342
AS Joseph,12,22,0,22,0.0,0.0,1.0,2.0,9.0,581
AS Rajpoot,15,24,0,24,0.0,0.0,1.0,9.0,8.0,633
AS Roy,5,6,0,6,0.0,0.0,1.0,1.0,0.0,177
AU Rashid,1,2,0,2,0.0,0.0,1.0,0.0,0.0,60
Abdul Samad,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
Abhishek Sharma,8,11,0,11,0.0,0.0,1.0,0.0,0.0,302
Akash Deep,5,8,0,8,0.0,0.0,1.0,3.0,1.0,227
Akash Madhwal,8,22,1,22,0.2727272727272727,0.0454545454545454,1.0,5.0,8.0,581
Akash Singh,4,5,0,5,0.0,0.0,1.0,3.0,1.0,150
Anand Rajan,7,10,1,10,0.6000000000000001,0.1,1.0,0.0,5.0,277
Ankit Sharma,8,10,0,10,0.0,0.0,1.0,4.0,0.0,277
Ankit Soni,2,4,0,4,0.0,0.0,1.0,1.0,0.0,115
Anureet Singh,13,21,2,21,0.5714285714285714,0.0952380952380952,1.0,7.0,10.0,556
Arjun Tendulkar,3,4,1,4,1.5,0.25,1.0,1.0,2.0,115
Arshad Khan,4,6,0,6,0.0,0.0,1.0,2.0,2.0,177
Arshdeep Singh,49,84,3,84,0.2142857142857142,0.0357142857142857,1.0,29.0,41.0,2153
Avesh Khan,44,81,6,81,0.4444444444444444,0.074074074074074,1.0,21.0,33.0,2076
Azhar Mahmood,12,26,1,26,0.2307692307692307,0.0384615384615384,1.0,5.0,13.0,683
Azmatullah Omarzai,3,4,0,4,0.0,0.0,1.0,3.0,0.0,115
B Akhil,5,7,1,7,0.8571428571428571,0.1428571428571428,1.0,0.0,1.0,202
B Geeves,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
B Kumar,99,170,3,170,0.1058823529411764,0.0176470588235294,1.0,65.0,87.0,4331
B Laughlin,6,10,0,10,0.0,0.0,1.0,3.0,3.0,277
B Lee,22,29,1,29,0.2068965517241379,0.0344827586206896,1.0,12.0,12.0,758
B Stanlake,4,7,0,7,0.0,0.0,1.0,2.0,0.0,202
BA Bhatt,6,12,0,12,0.0,0.0,1.0,3.0,2.0,329
BA Stokes,19,31,0,31,0.0,0.0,1.0,9.0,12.0,810
BAW Mendis,5,7,0,7,0.0,0.0,1.0,0.0,1.0,202
BB Sran,15,20,0,20,0.0,0.0,1.0,6.0,7.0,531
BCJ Cutting,9,12,0,12,0.0,0.0,1.0,0.0,2.0,329
BE Hendricks,6,11,0,11,0.0,0.0,1.0,1.0,7.0,302
BJ Hodge,8,10,0,10,0.0,0.0,1.0,0.0,0.0,277
BMAJ Mendis,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
BW Hilfenhaus,16,23,0,23,0.0,0.0,1.0,13.0,6.0,606
Basil Thampi,15,26,2,26,0.4615384615384615,0.0769230769230769,1.0,2.0,16.0,683
Bipul Sharma,15,20,2,20,0.6000000000000001,0.1,1.0,5.0,0.0,531
C Green,14,20,2,20,0.6000000000000001,0.1,1.0,3.0,2.0,531
C Nanda,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
C Sakariya,13,20,0,20,0.0,0.0,1.0,6.0,8.0,531
C de Grandhomme,5,7,1,7,0.8571428571428571,0.1428571428571428,1.0,0.0,0.0,202
CH Gayle,9,13,0,13,0.0,0.0,1.0,3.0,4.0,354
CH Morris,55,103,6,103,0.3495145631067961,0.058252427184466,1.0,24.0,59.0,2634
CJ Anderson,11,14,2,14,0.8571428571428571,0.1428571428571428,1.0,2.0,6.0,379
CJ Jordan,21,36,5,36,0.8333333333333334,0.1388888888888889,1.0,6.0,16.0,937
CJ McKay,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
CK Langeveldt,7,13,0,13,0.0,0.0,1.0,6.0,4.0,354
CL White,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
CR Brathwaite,10,16,1,16,0.375,0.0625,1.0,1.0,6.0,429
CR Woakes,17,31,0,31,0.0,0.0,1.0,6.0,15.0,810
CRD Fernando,9,19,0,19,0.0,0.0,1.0,7.0,7.0,506
CV Varun,50,85,2,85,0.1411764705882353,0.0235294117647058,1.0,13.0,8.0,2178
D Brevis,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
D Jansen,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
D Kalyankrishna,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
D Pretorius,4,7,0,7,0.0,0.0,1.0,0.0,2.0,202
D Salunkhe,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
D Wiese,9,17,0,17,0.0,0.0,1.0,6.0,8.0,454
D du Preez,2,4,0,4,0.0,0.0,1.0,3.0,0.0,115
DAJ Bracewell,1,3,0,3,0.0,0.0,1.0,0.0,2.0,90
DB Ravi Teja,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
DE Bollinger,16,33,2,33,0.3636363636363636,0.0606060606060606,1.0,9.0,20.0,860
DG Nalkande,4,6,0,6,0.0,0.0,1.0,0.0,1.0,177
DJ Bravo,114,201,10,201,0.2985074626865672,0.0497512437810945,1.0,13.0,111.0,5116
DJ Hooda,9,10,1,10,0.6000000000000001,0.1,1.0,2.0,1.0,277
DJ Hussey,7,10,0,10,0.0,0.0,1.0,0.0,2.0,277
DJ Mitchell,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
DJ Muthuswami,3,4,0,4,0.0,0.0,1.0,3.0,1.0,115
DJ Thornely,2,3,0,3,0.0,0.0,1.0,0.0,0.0,90
DJ Willey,5,7,0,7,0.0,0.0,1.0,3.0,2.0,202
DJG Sammy,6,14,2,14,0.8571428571428571,0.1428571428571428,1.0,1.0,4.0,379
DJM Short,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
DL Chahar,47,79,0,79,0.0,0.0,1.0,60.0,12.0,2026
DL Vettori,18,29,2,29,0.4137931034482758,0.0689655172413793,1.0,1.0,6.0,758
DNT Zoysa,2,2,0,2,0.0,0.0,1.0,0.0,1.0,60
DP Nannes,21,37,3,37,0.4864864864864865,0.081081081081081,1.0,17.0,19.0,962
DP Vijaykumar,4,4,0,4,0.0,0.0,1.0,3.0,1.0,115
DR Sams,10,15,1,15,0.4,0.0666666666666666,1.0,8.0,2.0,404
DR Smith,18,27,0,27,0.0,0.0,1.0,5.0,4.0,708
DS Kulkarni,56,91,2,91,0.1318681318681318,0.0219780219780219,1.0,46.0,20.0,2330
DT Christian,26,36,1,36,0.1666666666666666,0.0277777777777777,1.0,7.0,9.0,937
DW Steyn,55,97,1,97,0.0618556701030927,0.0103092783505154,1.0,34.0,42.0,2482
FA Allen,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
FH Edwards,4,6,0,6,0.0,0.0,1.0,4.0,2.0,177
FY Fazal,1,1,1,1,6.0,1.0,1.0,0.0,0.0,25
Fazalhaq Farooqi,4,6,0,6,0.0,0.0,1.0,3.0,1.0,177
G Coetzee,7,13,0,13,0.0,0.0,1.0,3.0,6.0,354
GB Hogg,15,25,0,25,0.0,0.0,1.0,5.0,6.0,658
GC Viljoen,5,8,0,8,0.0,0.0,1.0,3.0,1.0,227
GD McGrath,9,14,0,14,0.0,0.0,1.0,9.0,2.0,379
GD Phillips,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
GH Vihari,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
GHS Garton,3,3,0,3,0.0,0.0,1.0,1.0,1.0,90
GJ Maxwell,31,41,1,41,0.1463414634146341,0.024390243902439,1.0,10.0,3.0,1062
GR Napier,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
GS Sandhu,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
Gagandeep Singh,3,3,0,3,0.0,0.0,1.0,0.0,1.0,90
Gurkeerat Singh,3,5,0,5,0.0,0.0,1.0,0.0,0.0,150
HF Gurney,5,7,0,7,0.0,0.0,1.0,2.0,3.0,202
HH Pandya,45,70,4,70,0.3428571428571428,0.0571428571428571,1.0,13.0,22.0,1797
HR Shokeen,3,5,0,5,0.0,0.0,1.0,2.0,0.0,150
HV Patel,80,149,6,149,0.2416107382550335,0.0402684563758389,1.0,12.0,74.0,3798
Harbhajan Singh,90,154,7,154,0.2727272727272727,0.0454545454545454,1.0,29.0,20.0,3925
Harmeet Singh,15,25,2,25,0.48,0.08,1.0,6.0,6.0,658
Harpreet Brar,15,25,0,25,0.0,0.0,1.0,0.0,3.0,658
Harshit Rana,15,27,1,27,0.2222222222222222,0.037037037037037,1.0,10.0,6.0,708
