id,season,city,date,match_type,player_of_match,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
335982,2007/08,2,2008-04-18,League,BB McCullum,7,3,7,field,3,runs,140.0,223.0,20.0,N,,Asad Rauf,RE Koertzen
335983,2007/08,7,2008-04-19,League,MEK Hussey,6,0,0,bat,0,runs,33.0,241.0,20.0,N,,MR Benson,SL Shastri
335984,2007/08,10,2008-04-19,League,MF Maharoof,1,8,8,bat,1,wickets,9.0,130.0,20.0,N,,Aleem Dar,GA Pratapkumar
335985,2007/08,25,2008-04-20,League,MV Boucher,5,7,5,bat,7,wickets,5.0,166.0,20.0,N,,SJ Davis,DJ Harper
335986,2007/08,22,2008-04-20,League,DJ Hussey,3,9,9,bat,3,wickets,5.0,111.0,20.0,N,,BF Bowden,K Hariharan
335987,2007/08,18,2008-04-21,League,SR Watson,8,6,6,bat,8,wickets,6.0,167.0,20.0,N,,Aleem Dar,RB Tiffin
335988,2007/08,16,2008-04-22,League,V Sehwag,9,1,9,bat,1,wickets,9.0,143.0,20.0,N,,IL Howell,AM Saheba
335989,2007/08,8,2008-04-23,League,ML Hayden,0,5,5,field,0,runs,6.0,209.0,20.0,N,,DJ Harper,GA Pratapkumar
335990,2007/08,16,2008-04-24,League,YK Pathan,9,8,8,field,8,wickets,3.0,215.0,20.0,N,,Asad Rauf,MR Benson
335991,2007/08,7,2008-04-25,League,KC Sangakkara,6,5,5,field,6,runs,66.0,183.0,20.0,N,,Aleem Dar,AM Saheba
335992,2007/08,2,2008-04-26,League,SR Watson,7,8,8,field,8,wickets,7.0,136.0,20.0,N,,MR Benson,IL Howell
335993,2007/08,8,2008-04-26,League,JDP Oram,0,3,3,bat,0,wickets,9.0,148.0,20.0,N,,BF Bowden,AV Jayaprakash
335994,2007/08,25,2008-04-27,League,AC Gilchrist,5,9,9,field,9,wickets,10.0,155.0,20.0,N,,Asad Rauf,SL Shastri
335995,2007/08,7,2008-04-27,League,SM Katich,6,1,1,bat,6,wickets,4.0,159.0,20.0,N,,RE Koertzen,I Shivram
335996,2007/08,2,2008-04-28,League,MS Dhoni,7,0,0,bat,0,runs,13.0,179.0,20.0,N,,BR Doctrove,RB Tiffin
335997,2007/08,22,2008-04-29,League,ST Jayasuriya,3,5,3,bat,5,wickets,7.0,138.0,20.0,N,,BF Bowden,AV Jayaprakash
335998,2007/08,10,2008-04-30,League,GD McGrath,1,7,7,field,1,runs,10.0,192.0,20.0,N,,Aleem Dar,I Shivram
335999,2007/08,16,2008-05-01,League,SE Marsh,9,6,6,field,6,wickets,7.0,165.0,20.0,N,,BR Doctrove,RB Tiffin
336000,2007/08,18,2008-05-01,League,SA Asnodkar,8,3,8,bat,8,runs,45.0,197.0,20.0,N,,RE Koertzen,GA Pratapkumar
336001,2007/08,8,2008-05-02,League,V Sehwag,0,1,0,bat,1,wickets,8.0,170.0,20.0,N,,BF Bowden,K Hariharan
336003,2007/08,7,2008-05-03,League,IK Pathan,6,3,6,bat,6,runs,9.0,179.0,20.0,N,,DJ Harper,I Shivram
336034,2007/08,2,2008-05-03,League,P Kumar,7,9,9,field,7,runs,3.0,157.0,20.0,N,,BR Doctrove,SL Shastri
336004,2007/08,25,2008-05-04,League,SM Pollock,5,1,1,field,5,runs,29.0,163.0,20.0,N,,IL Howell,RE Koertzen
336005,2007/08,18,2008-05-04,League,Sohail Tanvir,8,0,0,bat,8,wickets,8.0,110.0,20.0,N,,Asad Rauf,AV Jayaprakash
336006,2007/08,2,2008-05-05,League,S Sreesanth,7,6,6,field,6,wickets,6.0,127.0,20.0,N,,SJ Davis,BR Doctrove
336007,2007/08,8,2008-05-06,League,AC Gilchrist,0,9,9,field,9,wickets,7.0,145.0,20.0,N,,MR Benson,RB Tiffin
336008,2007/08,25,2008-05-07,League,A Nehra,5,8,5,field,5,wickets,7.0,104.0,20.0,N,,DJ Harper,RE Koertzen
336009,2007/08,10,2008-05-08,League,MS Dhoni,1,0,0,field,0,wickets,4.0,188.0,20.0,N,,Aleem Dar,RB Tiffin
336010,2007/08,22,2008-05-08,League,SC Ganguly,3,7,3,bat,3,runs,5.0,130.0,16.0,N,,Asad Rauf,IL Howell
336011,2007/08,18,2008-05-09,League,YK Pathan,8,9,8,field,8,wickets,8.0,141.0,20.0,N,,MR Benson,AM Saheba
336013,2007/08,8,2008-05-10,League,L Balaji,0,6,6,field,0,runs,18.0,182.0,20.0,N,,AV Jayaprakash,BG Jerling
336014,2007/08,16,2008-05-11,League,SC Ganguly,9,3,3,bat,3,runs,23.0,205.0,20.0,N,,IL Howell,AM Saheba
336015,2007/08,18,2008-05-11,League,SR Watson,8,1,8,field,8,wickets,3.0,157.0,20.0,N,,SJ Davis,RE Koertzen
336016,2007/08,7,2008-05-12,League,SE Marsh,6,7,7,bat,6,wickets,9.0,144.0,20.0,N,,BR Doctrove,I Shivram
336017,2007/08,22,2008-05-13,League,Shoaib Akhtar,3,1,3,bat,3,runs,23.0,134.0,20.0,N,,Asad Rauf,IL Howell
336018,2007/08,25,2008-05-14,League,ST Jayasuriya,5,0,5,field,5,wickets,9.0,157.0,20.0,N,,BR Doctrove,AM Saheba
336020,2007/08,10,2008-05-15,League,A Mishra,1,9,9,field,1,runs,12.0,195.0,20.0,N,,BG Jerling,GA Pratapkumar
336021,2007/08,25,2008-05-16,League,SM Pollock,5,3,5,field,5,wickets,8.0,68.0,20.0,N,,BR Doctrove,DJ Harper
336022,2007/08,10,2008-05-17,League,DPMD Jayawardene,1,6,1,bat,6,runs,6.0,89.0,8.0,N,D/L,AV Jayaprakash,RE Koertzen
336023,2007/08,18,2008-05-17,League,GC Smith,8,7,7,field,8,runs,65.0,198.0,20.0,N,,BF Bowden,SL Shastri
336024,2007/08,16,2008-05-18,League,DJ Bravo,9,5,9,field,5,runs,25.0,179.0,20.0,N,,BR Doctrove,DJ Harper
336025,2007/08,22,2008-05-18,League,M Ntini,3,0,3,bat,0,runs,3.0,53.0,8.0,N,D/L,Asad Rauf,K Hariharan
336026,2007/08,2,2008-05-19,League,SP Goswami,7,1,1,field,1,wickets,5.0,155.0,20.0,N,,SJ Davis,GA Pratapkumar
336027,2007/08,22,2008-05-20,League,YK Pathan,3,8,8,field,8,wickets,6.0,148.0,20.0,N,,BG Jerling,RE Koertzen
336028,2007/08,25,2008-05-21,League,SE Marsh,5,6,5,field,6,runs,1.0,190.0,20.0,N,,BF Bowden,GA Pratapkumar
336029,2007/08,8,2008-05-21,League,A Kumble,0,7,7,bat,7,runs,14.0,127.0,20.0,N,,DJ Harper,I Shivram
336031,2007/08,7,2008-05-23,League,SE Marsh,6,9,6,field,6,wickets,6.0,176.0,20.0,N,,Asad Rauf,SJ Davis
336032,2007/08,10,2008-05-24,League,KD Karthik,1,5,1,field,1,wickets,5.0,177.0,20.0,N,,BF Bowden,K Hariharan
336033,2007/08,8,2008-05-24,League,JA Morkel,0,8,8,bat,8,runs,10.0,212.0,20.0,N,,DJ Harper,SL Shastri
336002,2007/08,16,2008-05-25,League,R Vinay Kumar,9,7,9,bat,7,wickets,5.0,166.0,20.0,N,,Asad Rauf,RE Koertzen
336035,2007/08,22,2008-05-25,League,Umar Gul,3,6,6,bat,3,wickets,3.0,175.0,20.0,N,,SJ Davis,I Shivram
336036,2007/08,18,2008-05-26,League,Sohail Tanvir,8,5,8,field,8,wickets,5.0,146.0,20.0,N,,BF Bowden,K Hariharan
336037,2007/08,16,2008-05-27,League,SK Raina,9,0,9,bat,0,wickets,7.0,148.0,20.0,N,,BG Jerling,AM Saheba
336012,2007/08,2,2008-05-28,League,CRD Fernando,7,5,5,field,5,wickets,9.0,123.0,18.0,N,,BF Bowden,AV Jayaprakash
336019,2007/08,7,2008-05-28,League,SE Marsh,6,8,8,field,6,runs,41.0,222.0,20.0,N,,SJ Davis,K Hariharan
336038,2007/08,25,2008-05-30,Semi Final,SR Watson,1,8,1,field,8,runs,105.0,193.0,20.0,N,,BF Bowden,RE Koertzen
336039,2007/08,25,2008-05-31,Semi Final,M Ntini,0,6,6,bat,0,wickets,9.0,113.0,20.0,N,,Asad Rauf,DJ Harper
336040,2007/08,25,2008-06-01,Final,YK Pathan,0,8,8,field,8,wickets,3.0,164.0,20.0,N,,BF Bowden,RE Koertzen
