batter,batting_pressure_rating,bowling_pressure_rating,overall_pressure_rating
A Ashish Reddy,31.248092767775407,43.44344344344344,43.44344344344344
A Badoni,34.146605942311865,0.0,34.146605942311865
A Chandila,10.098522167487685,50.0,50.0
A Choudhary,22.20205686630369,20.45045045045045,22.20205686630369
A Dananjaya,13.333333333333334,0.0,13.333333333333334
A Flintoff,26.190476190476193,30.45045045045045,30.45045045045045
A Kumble,12.938043173535185,48.46046046046046,48.46046046046046
A Manohar,33.59011983370018,0.0,33.59011983370018
A Mishra,28.058193125659393,49.489489489489486,49.489489489489486
A Mithun,21.421107628004183,22.092092092092095,22.092092092092095
A Mukund,0.5747126436781609,0.0,0.5747126436781609
A Nehra,12.888236732697479,63.75007660721947,63.75007660721947
0,0.0,50.0,50.0
A Nortje,20.29780564263323,43.35552944248596,43.35552944248596
A Singh,5.890804597701148,47.69331831831832,47.69331831831832
A Symonds,31.671214752336063,42.51751751751752,42.51751751751752
A Uniyal,10.098522167487685,40.34534534534534,40.34534534534534
A Zampa,15.613026819923371,44.58172458172458,44.58172458172458
AA Bilakhia,21.38752052545156,0.0,21.38752052545156
AA Chavan,23.491379310344826,41.56156156156156,41.56156156156156
AA Jhunjhunwala,25.531609195402297,50.0,50.0
0,0.0,43.78378378378379,43.78378378378379
AB Agarkar,23.925834701696772,31.24249249249249,31.24249249249249
AB Barath,6.666666666666667,0.0,6.666666666666667
AB Dinda,8.176593521421108,43.80144850733086,43.80144850733086
AB McDonald,21.724137931034484,43.46846846846847,43.46846846846847
AB de Villiers,55.586832434123075,0.0,55.586832434123075
AC Gilchrist,35.24137931034483,49.33933933933934,49.33933933933934
AC Voges,26.149425287356323,50.0,50.0
AD Mascarenhas,21.325944170771756,50.0,50.0
AD Mathews,32.09121245828698,33.746246246246244,33.746246246246244
AD Nath,17.113665389527455,0.0,17.113665389527455
AD Russell,56.427707199032064,64.10448184033089,64.10448184033089
AF Milne,15.456745311554748,37.35735735735736,37.35735735735736
AG Murtaza,6.666666666666667,50.0,50.0
AJ Finch,32.35531357128453,50.0,50.0
AJ Hosein,24.242424242424246,0.0,24.242424242424246
AJ Turner,6.743295019157088,0.0,6.743295019157088
AJ Tye,20.181255526083113,49.83858858858859,49.83858858858859
AK Markram,33.22444041137326,50.0,50.0
AL Menaria,24.854111405835543,50.0,50.0
AM Nayar,36.115349404943544,43.78378378378379,43.78378378378379
AM Rahane,34.53407224958949,0.0,34.53407224958949
0,0.0,33.67867867867868,33.67867867867868
AN Ahmed,22.79693486590038,37.7027027027027,37.7027027027027
AP Dole,27.81609195402299,42.672672672672675,42.672672672672675
AP Tare,29.282977558839626,0.0,29.282977558839626
AR Bawne,16.666666666666664,0.0,16.666666666666664
AR Patel,49.598039879863606,42.832207207207205,49.598039879863606
AS Joseph,12.695924764890284,41.70837504170838,41.70837504170838
AS Rajpoot,14.203612479474549,40.13138138138138,40.13138138138138
AS Raut,24.8900241237406,0.0,24.8900241237406
AS Roy,22.916666666666664,50.0,50.0
AS Yadav,25.114942528735632,0.0,25.114942528735632
AT Carey,19.601806239737275,0.0,19.601806239737275
AT Rayudu,52.195249623764965,0.0,52.195249623764965
AU Rashid,22.79693486590038,0.0,22.79693486590038
AUK Pathan,5.911330049261084,50.0,50.0
Abdul Basith,16.666666666666664,0.0,16.666666666666664
Abdul Samad,40.102500296243626,50.0,50.0
Abdur Razzak,0.0,0.0,0.0
Abhishek Sharma,30.87522503808337,50.0,50.0
Abishek Porel,33.13439434129089,0.0,33.13439434129089
Akash Deep,24.38423645320197,19.33933933933934,24.38423645320197
Akash Madhwal,13.333333333333334,41.93693693693693,41.93693693693693
0,0.0,43.78378378378379,43.78378378378379
Aman Hakim Khan,24.2816091954023,0.0,24.2816091954023
0,0.0,45.14114114114114,45.14114114114114
Anirudh Singh,17.241379310344826,0.0,17.241379310344826
Ankit Sharma,20.68965517241379,50.0,50.0
Ankit Soni,14.112388250319288,50.0,50.0
Anuj Rawat,31.825753789771777,0.0,31.825753789771777
Anureet Singh,15.533661740558292,41.28228228228228,41.28228228228228
Arjun Tendulkar,24.648786717752234,47.567567567567565,47.567567567567565
Arshad Khan,28.917120387174837,34.234234234234236,34.234234234234236
Arshad Khan (2),21.408045977011497,0.0,21.408045977011497
Arshdeep Singh,14.44763729246488,56.652750311286894,56.652750311286894
Ashutosh Sharma,32.50319284802043,0.0,32.50319284802043
0,0.0,50.0,50.0
Avesh Khan,23.015873015873016,49.14095914095914,49.14095914095914
Azhar Mahmood,30.74712643678161,42.778932778932784,42.778932778932784
0,0.0,50.0,50.0
B Akhil,27.244971264367816,28.22822822822823,28.22822822822823
B Chipli,32.34554597701149,0.0,32.34554597701149
B Kumar,29.5008210180624,75.26837182009595,75.26837182009595
B Laughlin,4.482758620689655,26.906906906906904,26.906906906906904
B Lee,26.11494252873563,32.44244244244244,32.44244244244244
B Sai Sudharsan,38.269704433497544,0.0,38.269704433497544
B Stanlake,41.66666666666667,50.0,50.0
B Sumanth,18.828680897646418,0.0,18.828680897646418
BA Bhatt,14.285714285714285,28.67867867867868,28.67867867867868
BA Stokes,30.025542784163477,39.294294294294296,39.294294294294296
BAW Mendis,16.666666666666664,17.117117117117118,17.117117117117118
BB McCullum,36.33640926015866,0.0,36.33640926015866
BB Samantray,22.738630684657675,0.0,22.738630684657675
BB Sran,12.1131741821397,41.24839124839125,41.24839124839125
BCJ Cutting,35.58177051824964,17.56756756756757,35.58177051824964
BE Hendricks,6.130268199233715,46.32775632775633,46.32775632775633
BJ Hodge,35.59164401201889,50.0,50.0
BJ Rohrer,39.82202447163515,0.0,39.82202447163515
0,0.0,36.221221221221214,36.221221221221214
Basil Thampi,16.166110493140526,45.957207207207205,45.957207207207205
Bipul Sharma,26.28259041211102,50.0,50.0
C Green,31.75621491579792,22.56756756756757,31.75621491579792
C Munro,11.111111111111109,0.0,11.111111111111109
C Nanda,0.5747126436781609,0.0,0.5747126436781609
C Sakariya,15.053050397877982,37.07582582582583,37.07582582582583
C de Grandhomme,26.029460997656514,50.0,50.0
