batsman,bowler,balls_faced,runs_scored,dismissals,strike_rate,avg_dismissal_type,bowler_type
A Ashish Reddy,A Nehra,9,7,1,77.77777777777779,caught,Unknown
A Ashish Reddy,AD Mathews,4,12,0,300.0,,Unknown
A Ashish Reddy,AD Russell,3,4,1,133.33333333333331,run out,Unknown
A Ashish Reddy,Anureet Singh,2,2,0,100.0,,Unknown
A Ashish Reddy,Azhar Mahmood,3,2,0,66.66666666666666,,Unknown
A Ashish Reddy,BW Hilfenhaus,2,2,1,100.0,caught,Unknown
A Ashish Reddy,CH Morris,5,11,0,220.00000000000003,,Unknown
A Ashish Reddy,DJ Bravo,13,24,1,184.6153846153846,caught,Unknown
A Ashish Reddy,Harbhajan Singh,8,11,0,137.5,,Unknown
A Ashish Reddy,Imran Tahir,2,2,0,100.0,,Unknown
A Ashish Reddy,J Botha,2,0,0,0.0,,Unknown
A Ashish Reddy,JEC Franklin,3,3,0,100.0,,Unknown
A Ashish Reddy,JP Duminy,1,1,0,100.0,,Unknown
A Ashish Reddy,JP Faulkner,2,2,0,100.0,,Unknown
A Ashish Reddy,KA Pollard,3,3,1,100.0,caught,Unknown
A Ashish Reddy,KK Cooper,5,8,0,160.0,,Unknown
A Ashish Reddy,M Kartik,8,6,0,75.0,,Unknown
A Ashish Reddy,M Morkel,5,5,1,100.0,bowled,Unknown
A Ashish Reddy,MG Johnson,3,7,0,233.33333333333334,,Unknown
A Ashish Reddy,MM Patel,2,0,1,0.0,caught,Unknown
A Ashish Reddy,MM Sharma,2,7,0,350.0,,Unknown
A Ashish Reddy,MS Gony,4,5,0,125.0,,Unknown
A Ashish Reddy,NM Coulter-Nile,1,0,1,0.0,run out,Unknown
A Ashish Reddy,P Awana,2,0,1,0.0,caught,Unknown
A Ashish Reddy,P Kumar,4,6,0,150.0,,Unknown
A Ashish Reddy,PP Chawla,2,2,0,100.0,,Unknown
A Ashish Reddy,PV Tambe,4,3,0,75.0,,Unknown
A Ashish Reddy,Parvez Rasool,9,18,0,200.0,,Unknown
A Ashish Reddy,R Vinay Kumar,11,14,2,127.27272727272727,"bowled, caught",Unknown
A Ashish Reddy,RJ Peterson,5,7,0,140.0,,Unknown
A Ashish Reddy,RP Singh,2,1,1,50.0,bowled,Unknown
A Ashish Reddy,SL Malinga,4,3,0,75.0,,Unknown
A Ashish Reddy,SMSM Senanayake,4,3,1,75.0,bowled,Unknown
A Ashish Reddy,SP Narine,1,1,0,100.0,,Unknown
A Ashish Reddy,SR Watson,5,3,1,60.0,bowled,Unknown
A Ashish Reddy,STR Binny,4,4,1,100.0,caught,Unknown
A Ashish Reddy,SW Tait,4,10,0,250.0,,Unknown
A Ashish Reddy,Sandeep Sharma,3,13,0,433.3333333333333,,Unknown
A Ashish Reddy,TG Southee,4,9,0,225.0,,Unknown
A Ashish Reddy,UT Yadav,10,20,0,200.0,,Unknown
A Ashish Reddy,YS Chahal,7,13,0,185.71428571428572,,Unknown
A Badoni,AD Russell,15,22,0,146.66666666666666,,Unknown
A Badoni,AR Patel,7,8,0,114.28571428571428,,Unknown
A Badoni,AS Joseph,4,5,0,125.0,,Unknown
A Badoni,Akash Madhwal,4,0,1,0.0,bowled,Unknown
A Badoni,Arshdeep Singh,4,3,0,75.0,,Unknown
A Badoni,Avesh Khan,2,2,0,100.0,,Unknown
A Badoni,B Kumar,4,4,0,100.0,,Unknown
A Badoni,C Sakariya,5,13,1,260.0,caught,Unknown
A Badoni,CV Varun,16,18,0,112.5,,Unknown
A Badoni,DG Nalkande,1,2,0,200.0,,Unknown
A Badoni,DJ Bravo,5,5,0,100.0,,Unknown
A Badoni,DJ Willey,5,6,0,120.0,,Unknown
A Badoni,DL Chahar,7,21,0,300.0,,Unknown
A Badoni,G Coetzee,5,5,0,100.0,,Unknown
A Badoni,GJ Maxwell,4,3,0,75.0,,Unknown
A Badoni,Gurnoor Brar,5,11,0,220.00000000000003,,Unknown
A Badoni,HH Pandya,11,19,1,172.72727272727272,run out,Unknown
A Badoni,HV Patel,5,4,0,80.0,,Unknown
A Badoni,Harpreet Brar,3,2,0,66.66666666666666,,Unknown
A Badoni,Harshit Rana,7,7,0,100.0,,Unknown
A Badoni,I Sharma,11,10,0,90.9090909090909,,Unknown
A Badoni,JD Unadkat,6,4,0,66.66666666666666,,Unknown
A Badoni,JJ Bumrah,5,3,0,60.0,,Unknown
A Badoni,JO Holder,1,0,0,0.0,,Unknown
A Badoni,JR Hazlewood,9,3,2,33.33333333333333,caught,Unknown
A Badoni,K Rabada,8,8,1,100.0,caught,Unknown
A Badoni,KK Ahmed,6,12,0,200.0,,Unknown
A Badoni,KR Sen,2,2,0,100.0,,Unknown
A Badoni,KV Sharma,3,5,0,166.66666666666669,,Unknown
A Badoni,Kuldeep Yadav,8,8,0,100.0,,Unknown
A Badoni,LH Ferguson,12,15,0,125.0,,Unknown
A Badoni,LS Livingstone,2,6,1,300.0,caught,Unknown
A Badoni,M Pathirana,10,9,0,90.0,,Unknown
A Badoni,M Theekshana,12,26,0,216.66666666666666,,Unknown
A Badoni,MA Starc,2,0,0,0.0,,Unknown
A Badoni,MM Ali,8,6,0,75.0,,Unknown
A Badoni,MM Sharma,13,23,1,176.9230769230769,caught,Unknown
A Badoni,Mohammed Shami,11,16,0,145.45454545454547,,Unknown
A Badoni,Mohammed Siraj,18,18,0,100.0,,Unknown
A Badoni,Mukesh Choudhary,5,7,0,140.0,,Unknown
A Badoni,Mukesh Kumar,16,26,0,162.5,,Unknown
A Badoni,N Burger,1,0,1,0.0,caught,Unknown
A Badoni,N Thushara,3,4,0,133.33333333333331,,Unknown
A Badoni,Noor Ahmad,3,5,0,166.66666666666669,,Unknown
A Badoni,PJ Cummins,4,8,0,200.0,,Unknown
A Badoni,PP Chawla,4,2,0,50.0,,Unknown
A Badoni,PWH de Silva,2,1,0,50.0,,Unknown
A Badoni,R Ashwin,9,11,0,122.22222222222223,,Unknown
A Badoni,R Sai Kishore,2,1,1,50.0,stumped,Unknown
A Badoni,R Shepherd,15,29,1,193.33333333333334,run out,Unknown
A Badoni,RA Jadeja,4,3,0,75.0,,Unknown
A Badoni,RD Chahar,9,12,0,133.33333333333331,,Unknown
A Badoni,RJW Topley,2,0,0,0.0,,Unknown
A Badoni,RP Meredith,4,9,1,225.0,caught,Unknown
A Badoni,RS Hangargekar,3,5,0,166.66666666666669,,Unknown
A Badoni,Rashid Khan,22,19,1,86.36363636363636,caught,Spin
