batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs,StrikeRate_Powerplay,StrikeRate_DeathOvers,Boundary_Percentage,Impact
A Ashish Reddy,21,254,172,15,14,15,147.67441860465115,16.933333333333334,5.0,169.0,2.9069767441860463,98.25581395348837,56.69291338582677,25.006201550387594
A Badoni,35,633,465,46,24,26,136.1290322580645,24.346153846153847,18.0,332.0,3.870967741935484,71.3978494623656,51.81674565560821,33.14218362282878
A Chandila,2,4,7,0,0,1,57.14285714285714,4.0,0.0,4.0,0.0,57.14285714285714,0.0,2.2857142857142856
A Chopra,6,53,70,7,0,5,75.71428571428571,10.6,27.0,0.0,38.57142857142858,0.0,52.83018867924528,8.025714285714285
A Choudhary,3,25,20,1,1,2,125.0,12.5,0.0,24.0,0.0,120.0,40.0,15.625
A Dananjaya,1,4,5,0,0,0,80.0,inf,0.0,4.0,0.0,80.0,0.0,inf
A Flintoff,3,62,50,5,2,2,124.0,31.0,14.0,22.0,28.000000000000004,44.0,51.61290322580645,38.44
A Kamboj,1,2,2,0,0,0,100.0,inf,0.0,0.0,0.0,0.0,0.0,inf
A Kumble,14,35,45,3,0,2,77.77777777777779,17.5,0.0,29.0,0.0,64.44444444444444,34.285714285714285,13.611111111111112
A Manohar,15,231,174,21,10,14,132.75862068965515,16.5,12.0,85.0,6.896551724137931,48.85057471264368,62.33766233766234,21.905172413793096
A Mishra,51,350,382,28,5,27,91.62303664921468,12.962962962962964,1.0,219.0,0.2617801047120419,57.32984293193717,40.57142857142857,11.877060306379681
A Mithun,6,34,24,4,1,5,141.66666666666669,6.8,0.0,13.0,0.0,54.166666666666664,64.70588235294117,9.633333333333335
A Mukund,2,19,22,1,0,2,86.36363636363636,9.5,14.0,0.0,63.63636363636363,0.0,21.052631578947366,8.204545454545453
A Nehra,13,28,44,2,1,7,63.63636363636363,4.0,0.0,23.0,0.0,52.27272727272727,50.0,2.5454545454545454
A Nortje,12,49,48,6,0,5,102.08333333333331,9.8,0.0,46.0,0.0,95.83333333333334,48.97959183673469,10.004166666666665
A Raghuvanshi,7,163,102,16,8,7,159.80392156862746,23.285714285714285,78.0,0.0,76.47058823529412,0.0,68.71165644171779,37.21148459383753
A Singh,5,2,9,0,0,4,22.22222222222222,0.5,0.0,2.0,0.0,22.22222222222222,0.0,0.1111111111111111
A Symonds,34,954,716,72,41,24,133.24022346368716,39.75,72.0,220.0,10.05586592178771,30.726256983240223,55.9748427672956,52.962988826815646
A Tomar,1,4,8,1,0,1,50.0,4.0,4.0,0.0,50.0,0.0,100.0,2.0
A Uniyal,2,4,7,0,0,1,57.14285714285714,4.0,0.0,4.0,0.0,57.14285714285714,0.0,2.2857142857142856
A Zampa,5,15,24,1,0,5,62.5,3.0,0.0,5.0,0.0,20.833333333333336,26.666666666666668,1.875
AA Bilakhia,7,69,81,5,0,5,85.18518518518519,13.8,23.0,34.0,28.39506172839506,41.9753086419753,28.985507246376812,11.755555555555556
AA Chavan,2,11,8,2,0,1,137.5,11.0,0.0,11.0,0.0,137.5,72.72727272727273,15.125
AA Jhunjhunwala,13,207,190,17,5,12,108.94736842105264,17.25,19.0,53.0,10.0,27.89473684210526,47.34299516908212,18.793421052631583
AA Kulkarni,2,9,8,2,0,2,112.5,4.5,9.0,0.0,112.5,0.0,88.88888888888889,5.0625
AA Noffke,1,9,10,1,0,1,90.0,9.0,0.0,0.0,0.0,0.0,44.44444444444444,8.1
AB Agarkar,18,177,147,13,5,8,120.40816326530611,22.125,20.0,108.0,13.60544217687075,73.46938775510205,46.32768361581921,26.64030612244898
AB Barath,3,42,41,5,1,2,102.4390243902439,21.0,18.0,2.0,43.90243902439025,4.878048780487805,61.904761904761905,21.51219512195122
AB Dinda,10,15,31,1,0,7,48.38709677419355,2.142857142857143,0.0,7.0,0.0,22.58064516129032,26.666666666666668,1.0368663594470047
AB McDonald,9,123,96,9,4,5,128.125,24.6,30.0,78.0,31.25,81.25,48.78048780487805,31.51875
AB de Villiers,164,4945,3236,399,235,123,152.81211372064277,40.203252032520325,741.0,1269.0,22.898640296662546,39.215080346106305,60.788675429727,61.43543921533159
AC Blizzard,6,114,82,20,2,6,139.02439024390242,19.0,93.0,0.0,113.41463414634146,0.0,80.7017543859649,26.41463414634146
AC Gilchrist,73,1987,1373,226,91,70,144.7195921340131,28.38571428571429,1316.0,52.0,95.84850691915513,3.7873270211216314,72.97433316557624,41.079689938612006
AC Voges,7,181,137,15,3,6,132.1167883211679,30.166666666666668,7.0,66.0,5.109489051094891,48.175182481751825,43.0939226519337,39.85523114355232
AD Hales,6,147,116,13,6,6,126.72413793103448,24.5,113.0,0.0,97.41379310344827,0.0,59.863945578231295,31.047413793103445
AD Mascarenhas,10,74,72,5,1,9,102.77777777777776,8.222222222222221,4.0,31.0,5.555555555555555,43.05555555555556,35.13513513513514,8.450617283950614
