bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,Powerplay_Wicket_Percentage,DeathOver_Wicket_Percentage,Control
A Ashish Reddy,11,15,0,15,0.0,0.0,1.0,0.0,6.0,0.0,0.4,
A Badoni,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
A Chandila,5,7,0,7,0.0,0.0,1.0,6.0,0.0,0.8571428571428571,0.0,
A Choudhary,4,5,0,5,0.0,0.0,1.0,3.0,1.0,0.6,0.2,
A Flintoff,2,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,
A Kamboj,2,2,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.0,
A Kumble,27,49,1,49,0.1224489795918367,0.0204081632653061,1.0,3.0,15.0,0.061224489795918366,0.30612244897959184,0.16666666666666652
A Mishra,102,172,3,172,0.1046511627906976,0.0174418604651162,1.0,6.0,26.0,0.03488372093023256,0.1511627906976744,0.16666666666666602
A Mithun,5,6,0,6,0.0,0.0,1.0,1.0,3.0,0.16666666666666666,0.5,
A Nehra,59,109,5,109,0.2752293577981651,0.0458715596330275,1.0,44.0,49.0,0.4036697247706422,0.44954128440366975,0.1666666666666666
A Nel,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
A Nortje,35,62,1,62,0.0967741935483871,0.0161290322580645,1.0,22.0,23.0,0.3548387096774194,0.3709677419354839,0.1666666666666665
A Singh,16,30,1,30,0.2,0.0333333333333333,1.0,13.0,16.0,0.43333333333333335,0.5333333333333333,0.1666666666666665
A Symonds,16,23,1,23,0.2608695652173913,0.0434782608695652,1.0,5.0,6.0,0.21739130434782608,0.2608695652173913,0.1666666666666666
A Uniyal,1,3,0,3,0.0,0.0,1.0,1.0,2.0,0.3333333333333333,0.6666666666666666,
A Zampa,16,30,0,30,0.0,0.0,1.0,3.0,7.0,0.1,0.23333333333333334,
AA Chavan,6,8,0,8,0.0,0.0,1.0,3.0,1.0,0.375,0.125,
AA Jhunjhunwala,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
AA Kazi,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
AA Noffke,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
AB Agarkar,20,31,2,31,0.3870967741935484,0.064516129032258,1.0,6.0,8.0,0.1935483870967742,0.25806451612903225,0.1666666666666665
AB Dinda,33,52,2,52,0.2307692307692307,0.0384615384615384,1.0,26.0,17.0,0.5,0.3269230769230769,0.16666666666666646
AB McDonald,7,14,2,14,0.8571428571428571,0.1428571428571428,1.0,3.0,4.0,0.21428571428571427,0.2857142857142857,0.1666666666666666
AC Gilchrist,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
AC Voges,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
AD Mascarenhas,7,13,0,13,0.0,0.0,1.0,9.0,0.0,0.6923076923076923,0.0,
AD Mathews,11,15,0,15,0.0,0.0,1.0,5.0,4.0,0.3333333333333333,0.26666666666666666,
AD Russell,69,125,6,125,0.288,0.048,1.0,22.0,53.0,0.176,0.424,0.16666666666666669
AF Milne,5,9,2,9,1.3333333333333333,0.2222222222222222,1.0,3.0,4.0,0.3333333333333333,0.4444444444444444,0.16666666666666666
AG Murtaza,3,7,1,7,0.8571428571428571,0.1428571428571428,1.0,2.0,0.0,0.2857142857142857,0.0,0.1666666666666666
AJ Hosein,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
AJ Tye,20,48,2,48,0.25,0.0416666666666666,1.0,13.0,24.0,0.2708333333333333,0.5,0.1666666666666664
AK Markram,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
AL Menaria,2,3,0,3,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,
AM Nayar,4,6,0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,
AM Rahane,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
AM Salvi,5,7,0,7,0.0,0.0,1.0,1.0,2.0,0.14285714285714285,0.2857142857142857,
AN Ahmed,9,11,0,11,0.0,0.0,1.0,1.0,6.0,0.09090909090909091,0.5454545454545454,
AP Dole,3,5,0,5,0.0,0.0,1.0,2.0,1.0,0.4,0.2,
AR Patel,91,131,1,131,0.0458015267175572,0.0076335877862595,1.0,18.0,16.0,0.13740458015267176,0.12213740458015267,0.16666666666666594
